,date,gold
0,1960-01-01,35.27
1,1960-02-01,35.27
2,1960-03-01,35.27
3,1960-04-01,35.27
4,1960-05-01,35.27
5,1960-06-01,35.27
6,1960-07-01,35.27
7,1960-08-01,35.27
8,1960-09-01,35.27
9,1960-10-01,35.27
10,1960-11-01,35.27
11,1960-12-01,35.27
12,1961-01-01,35.25
13,1961-02-01,35.25
14,1961-03-01,35.25
15,1961-04-01,35.25
16,1961-05-01,35.25
17,1961-06-01,35.25
18,1961-07-01,35.25
19,1961-08-01,35.25
20,1961-09-01,35.25
21,1961-10-01,35.25
22,1961-11-01,35.25
23,1961-12-01,35.25
24,1962-01-01,35.23
25,1962-02-01,35.23
26,1962-03-01,35.23
27,1962-04-01,35.23
28,1962-05-01,35.23
29,1962-06-01,35.23
30,1962-07-01,35.23
31,1962-08-01,35.23
32,1962-09-01,35.23
33,1962-10-01,35.23
34,1962-11-01,35.23
35,1962-12-01,35.23
36,1963-01-01,35.09
37,1963-02-01,35.09
38,1963-03-01,35.09
39,1963-04-01,35.09
40,1963-05-01,35.09
41,1963-06-01,35.09
42,1963-07-01,35.09
43,1963-08-01,35.09
44,1963-09-01,35.09
45,1963-10-01,35.09
46,1963-11-01,35.09
47,1963-12-01,35.09
48,1964-01-01,35.1
49,1964-02-01,35.1
50,1964-03-01,35.1
51,1964-04-01,35.1
52,1964-05-01,35.1
53,1964-06-01,35.1
54,1964-07-01,35.1
55,1964-08-01,35.1
56,1964-09-01,35.1
57,1964-10-01,35.1
58,1964-11-01,35.1
59,1964-12-01,35.1
60,1965-01-01,35.12
61,1965-02-01,35.12
62,1965-03-01,35.12
63,1965-04-01,35.12
64,1965-05-01,35.12
65,1965-06-01,35.12
66,1965-07-01,35.12
67,1965-08-01,35.12
68,1965-09-01,35.12
69,1965-10-01,35.12
70,1965-11-01,35.12
71,1965-12-01,35.12
72,1966-01-01,35.13
73,1966-02-01,35.13
74,1966-03-01,35.13
75,1966-04-01,35.13
76,1966-05-01,35.13
77,1966-06-01,35.13
78,1966-07-01,35.13
79,1966-08-01,35.13
80,1966-09-01,35.13
81,1966-10-01,35.13
82,1966-11-01,35.13
83,1966-12-01,35.13
84,1967-01-01,34.95
85,1967-02-01,34.95
86,1967-03-01,34.95
87,1967-04-01,34.95
88,1967-05-01,34.95
89,1967-06-01,34.95
90,1967-07-01,34.95
91,1967-08-01,34.95
92,1967-09-01,34.95
93,1967-10-01,34.95
94,1967-11-01,34.95
95,1967-12-01,34.95
96,1968-01-01,35.5
97,1968-02-01,36.0
98,1968-03-01,37.0
99,1968-04-01,37.86
100,1968-05-01,40.7
101,1968-06-01,41.14
102,1968-07-01,39.46
103,1968-08-01,39.19
104,1968-09-01,40.18
105,1968-10-01,39.21
106,1968-11-01,39.78
107,1968-12-01,41.08
108,1969-01-01,42.3
109,1969-02-01,42.6
110,1969-03-01,43.16
111,1969-04-01,43.31
112,1969-05-01,43.46
113,1969-06-01,41.44
114,1969-07-01,41.76
115,1969-08-01,41.09
116,1969-09-01,40.87
117,1969-10-01,40.44
118,1969-11-01,37.4
119,1969-12-01,35.17
120,1970-01-01,34.94
121,1970-02-01,34.99
122,1970-03-01,35.09
123,1970-04-01,35.62
124,1970-05-01,35.95
125,1970-06-01,35.42
126,1970-07-01,35.32
127,1970-08-01,35.38
128,1970-09-01,36.19
129,1970-10-01,37.52
130,1970-11-01,37.44
131,1970-12-01,37.44
132,1971-01-01,37.88
133,1971-02-01,38.74
134,1971-03-01,38.87
135,1971-04-01,39.01
136,1971-05-01,40.52
137,1971-06-01,40.1
138,1971-07-01,40.95
139,1971-08-01,42.71
140,1971-09-01,42.03
141,1971-10-01,42.5
142,1971-11-01,42.86
143,1971-12-01,43.48
144,1972-01-01,45.75
145,1972-02-01,48.26
146,1972-03-01,48.33
147,1972-04-01,49.03
148,1972-05-01,54.62
149,1972-06-01,62.09
150,1972-07-01,65.66
151,1972-08-01,67.03
152,1972-09-01,65.46
153,1972-10-01,64.86
154,1972-11-01,62.91
155,1972-12-01,63.91
156,1973-01-01,65.14
157,1973-02-01,74.2
158,1973-03-01,84.37
159,1973-04-01,90.5
160,1973-05-01,101.96
161,1973-06-01,120.12
162,1973-07-01,120.17
163,1973-08-01,106.76
164,1973-09-01,102.97
165,1973-10-01,100.08
166,1973-11-01,94.92
167,1973-12-01,106.72
168,1974-01-01,129.19
169,1974-02-01,150.13
170,1974-03-01,168.42
171,1974-04-01,172.24
172,1974-05-01,163.27
173,1974-06-01,154.1
174,1974-07-01,142.98
175,1974-08-01,154.64
176,1974-09-01,151.75
177,1974-10-01,158.78
178,1974-11-01,181.66
179,1974-12-01,183.78
180,1975-01-01,176.27
181,1975-02-01,179.6
182,1975-03-01,178.16
183,1975-04-01,169.84
184,1975-05-01,167.39
185,1975-06-01,164.24
186,1975-07-01,165.17
187,1975-08-01,163.0
188,1975-09-01,144.17
189,1975-10-01,142.79
190,1975-11-01,142.42
191,1975-12-01,139.3
192,1976-01-01,131.05
193,1976-02-01,131.06
194,1976-03-01,132.76
195,1976-04-01,127.94
196,1976-05-01,126.92
197,1976-06-01,125.71
198,1976-07-01,117.73
199,1976-08-01,109.93
200,1976-09-01,114.15
201,1976-10-01,116.15
202,1976-11-01,130.46
203,1976-12-01,133.93
204,1977-01-01,132.26
205,1977-02-01,136.24
206,1977-03-01,148.23
207,1977-04-01,149.17
208,1977-05-01,146.61
209,1977-06-01,140.78
210,1977-07-01,143.39
211,1977-08-01,144.94
212,1977-09-01,149.53
213,1977-10-01,158.95
214,1977-11-01,162.1
215,1977-12-01,160.45
216,1978-01-01,173.18
217,1978-02-01,178.14
218,1978-03-01,183.61
219,1978-04-01,175.28
220,1978-05-01,176.31
221,1978-06-01,183.75
222,1978-07-01,188.73
223,1978-08-01,206.3
224,1978-09-01,212.08
225,1978-10-01,227.44
226,1978-11-01,206.2
227,1978-12-01,207.85
228,1979-01-01,227.28
229,1979-02-01,245.67
230,1979-03-01,242.05
231,1979-04-01,239.11
232,1979-05-01,257.59
233,1979-06-01,279.07
234,1979-07-01,294.74
235,1979-08-01,300.82
236,1979-09-01,354.95
237,1979-10-01,391.66
238,1979-11-01,391.99
239,1979-12-01,455.08
240,1980-01-01,675.31
241,1980-02-01,665.32
242,1980-03-01,553.58
243,1980-04-01,517.41
244,1980-05-01,513.8
245,1980-06-01,600.72
246,1980-07-01,643.27
247,1980-08-01,627.15
248,1980-09-01,673.63
249,1980-10-01,661.15
250,1980-11-01,624.77
251,1980-12-01,538.26
252,1981-01-01,557.39
253,1981-02-01,499.76
254,1981-03-01,499.11
255,1981-04-01,495.8
256,1981-05-01,479.7
257,1981-06-01,461.09
258,1981-07-01,409.07
259,1981-08-01,410.16
